,x,y,cam
0,81920,40960,0.18325512
1,48128,33792,0.27317774
2,39936,63488,0.19849569
3,55296,55296,0.13928752
4,5120,26624,0.26552054
5,91136,46080,0.28793648
6,64512,49152,0.26286075
7,14336,43008,0.20563646
8,31744,33792,0.20271444
9,75776,57344,0.16080754
10,58368,58368,0.17736886
11,14336,39936,0.22185163
12,63488,51200,0.26462495
13,53248,52224,0.16188665
14,26624,37888,0.29027456
15,64512,57344,0.27553436
16,38912,39936,0.22515562
17,78848,32768,0.26276883
18,54272,63488,0.316689
19,45056,46080,0.23002736
20,54272,16384,0.24884851
21,57344,45056,0.26822844
22,41984,34816,0.109053805
23,57344,46080,0.26993558
24,36864,43008,0.23226617
25,18432,15360,0.28757146
26,43008,51200,0.2506061
27,72704,37888,0.24759701
28,73728,54272,0.29828116
29,57344,59392,0.31602138
30,51200,59392,0.20215328
31,24576,44032,0.21642403
32,87040,46080,0.25378242
33,55296,47104,0.24481781
34,40960,58368,0.266367
35,33792,31744,0.18641941
36,41984,49152,0.22969078
37,52224,50176,0.1380974
38,46080,17408,0.26225036
39,77824,47104,0.3512147
40,18432,24576,0.30149814
41,38912,20480,0.25274295
42,23552,30720,0.22639397
43,77824,33792,0.23934071
44,48128,35840,0.22717753
45,26624,12288,0.26959267
46,33792,44032,0.26831484
47,53248,46080,0.23503447
48,50176,16384,0.25520357
49,23552,13312,0.28648338
50,27648,33792,0.20970765
51,56320,43008,0.2161998
52,50176,46080,0.07314615
53,44032,27648,0.1525034
54,35840,19456,0.26328945
55,59392,18432,0.26969475
56,32768,63488,0.2946882
57,33792,26624,0.07452397
58,56320,18432,0.26559877
59,81920,30720,0.2674329
60,31744,48128,0.20803009
61,22528,43008,0.2561419
62,70656,48128,0.2494688
63,44032,47104,0.27175897
64,25600,22528,0.08568241
65,54272,48128,0.23101531
66,48128,65536,0.21311747
67,78848,48128,0.16547155
68,25600,18432,0.29337028
69,88064,32768,0.25796044
70,44032,68608,0.28198987
71,29696,56320,0.21901162
72,21504,15360,0.30047023
73,87040,31744,0.28779864
74,35840,16384,0.25766233
